description,hs_code,norms,occurrence_count,total_quantity,total_cif_value,sample_licenses,current_item_names,suggested_item_name
LIQUID GLUCOSE,17000000,E1,43,5566853.430,60797.55,"0310697462, 0310687206, 0310689110, 0310741140, 0310741564",LIQUID GLUCOSE,
Emulsifier - GMS,29157030,E5,43,15323.640,0.00,"0311021412, 0311025287, 0311025545, 0311021421, 0311025826",EMULSIFIER - E5,
dietary fibre,08023100,E5,42,3109597.950,65001.02,"0510336995, 0310705160, 0310829956, 0310829982, 0310830107",DIETARY FIBRE,
dietary fibre,08029900,E5,41,387941.990,0.00,"0311018316, 0311018315, 0311018595, 0311018594, 0311018588",DIETARY FIBRE,
(a) Aluminium Oxide 28182000 (b) Zinc Oxide 28170010 (c) Zirconium Oxide 28256010,28256010,A3627,41,2516536.770,0.00,"5211007784, 3411005750, 3411005749, 3411005748, 3411005781","ALUMINIUM OXIDE, ZINC OXIDE, ZIRCONIUM OXIDE",
frontwheel tyretube,40139049,C969,40,23212.000,88676.15,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",FRONTWHEEL TYRE,
rearwheel tyretube,40139041,C969,40,23097.000,107033.29,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",REARWHEEL TYRE,
"Milk & Milk Products (Milk Solids (Code 0406,3502)",35022000,E5,40,1975474.700,0.00,"0510336995, 0311008159, 0311007633, 0311010834, 0311013659",CHEESE,
"HOT ROLLED STEEL (SHEETS/WIDE COILS) -7208,7209",72091690,C969,40,1366830.310,0.00,"3011003417, 3011003509, 3011003538, 3011003602, 3011003719",HOT ROLLED STEEL,
rearwheel tyre,40119900,C969,39,22212.000,2418450.55,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",REARWHEEL TYRE,
rbd palmolein oil,15119020,E5,38,4575019.430,13629.03,"0510336995, 3010105333, 3010105334, 0310736955, 0310734251",RBD PALMOLEIN OIL,
Biscuit Additives and ingredients:-Leavening Agent,21021000,E5,38,224135.790,0.00,"0310825085, 0310832269, 0310831990, 0310832494, 0310831992",LEAVENING AGENT,
Leavening Agent / Dough Conditioner - Yeast,21021020,E5,38,66093.390,0.00,"0311020008, 0311020048, 0311020051, 0311020050, 0311020049",LEAVENING AGENT,
fuel injection pump,84133010,C969,37,18424.000,681723.07,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",FUEL INJECTION PUMP,
water pump seal,40169310,C969,37,18424.000,12091.91,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",WATER PUMP,
water pump,84133030,C969,37,18424.000,62830.32,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",WATER PUMP,
safety neutral switch,85362090,C969,37,18424.000,36999.43,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",SAFETY NEUTRAL SWITCH,
wiring hanrness,85447090,C969,37,18424.000,102580.73,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",WIRING HANRNESS,
oil seperator,84213910,C969,37,18424.000,103749.91,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",OIL SEPERATOR,
auxiliary valves,84099990,C969,37,18424.000,43251.16,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",AUXILIARY VALVES,
alternator,85114000,C969,37,18424.000,126908.66,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",ALTERNATOR,
"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",08000000,E1,37,622690.080,112047.20,"0310689110, 0310741140, 0310741564, 0310729488, 0310732839",OTHER CONFECTIONERY INGREDIENTS - E1,
Food Flavour - Fruit Flavour (HS Code 2009),20091100,E5,37,174202.100,0.00,"0311032718, 0311032829, 0311032964, 0311033150, 0311033824","FOOD FLAVOUR - E5, JUICE - E5",
vi) Anti Oxidant ( Citric Acid ),29181400,E5,36,6108.740,1.00,"0910061491, 0910061780, 0910057477, 0910059714, 0910058234",ANTI OXIDANT,
relevant essential oils orange,33021010,E1,36,75125.740,4255.26,"0310817639, 0310827444, 0310829056, 0310829058, 0310832432",ESSENTIAL OIL,
Other Special Additives namely:-(a) Clay 25080000 (b) Selenium 28049000 (c) Nucleating Agents (Titanium Dioxide other than Rutile Garde) 32061110 (d) Barium carbonate 28366000,32061110,A3627,36,6218414.520,0.00,"5211005450, 5211005449, 5211005899, 5211005900, 5211006128",TITANIUM DIOXIDE,
Brake Assembly (Prime ) (HS Code - 8708),87083000,C969,36,5211.000,0.00,"3011005560, 3011005583, 3011005707, 3011005706, 3011005756",BRAKE ASSEMBLY,
RELEVANT FOOD COLOUR,21000000,E1,35,1064.310,2.00,"0310687206, 0310689110, 0310741140, 0310741564, 0310729488",FOOD COLOUR,
relevant food flavour,09000000,E1,35,12459.300,2.00,"0310689110, 0310741140, 0310741564, 0310729488, 0310732839",FOOD FLAVOUR - E1,
"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",08023100,E1,35,604959.600,38110.20,"0310746675, 0310824205, 0310824203, 0310733546, 0310730386",OTHER CONFECTIONERY INGREDIENTS - E1,
b) Paper (50 To 150 GSM),48101990,E5,35,1827078.460,0.00,"0910061780, 0910059761, 0910061490, 0910059760, 0910061782",PAPER & PAPER,
"Milk & Milk Products (Milk Solids HS Code 0404,3502)",35022000,E5,35,665133.280,0.00,"0311024193, 0311024754, 0311025117, 0311028889, 0311029412",SWP,
Glass Formers namely:-(a) Silica (other than Fumed Silica)28110000 (b) Borax 28401900 (c) Phosphoric Acid 28092010 (d) Arsenic Trioxide 28112920 (e) Rutile 32061190 / 32061110,32061190,A3627,35,49342365.300,88303840.89,"5211006128, 5211006441, 5211006440, 5211006446, 5211006445",RUTILE,
citric acid/tartartic acid/malic acid (food grade relevant),29181400,E1,34,490661.190,27932.71,"0310746675, 0310742675, 0310739005, 0310824203, 0310824205",CITRIC ACID / TARTARIC ACID - E1,
Food Flavours -Fruit Flavours (Edible Grade),09083110,E1,34,4278.030,0.00,"0311039992, 0311040045, 0311040600, 0311040983, 0311041020",FOOD FLAVOUR - E1,
GLASS FORMERS NAMELY (A) SILICA (OTHER THAN FUMED SILICA) (B) BORAX / BORIC ACID (NOT EXCEEDING 0.10 PER KG OF EXPORT PRODUCT) (C) PHOSPHORIC ACID (D) ARSENIC TRIOXIDE (E) RUTILE,28110000,A3627,33,32052849.090,0.00,"0310587900, 0310611767, 0310627840, 0310642078, 0310642082",RUTILE,
EMULSIFIER /STABILIZER/GLAZING AGENT/BINDERS/THICKENERS (ITEMS AS PER PFA ACT 1955),04000000,E1,33,11633.600,2.00,"0310689110, 0310741140, 0310742675, 0310741564, 0310729488",EMULSIFIER - E1,
paper & paper board (100 to 300 gsm),48101990,E5,33,925773.590,0.00,"0310831843, 0310830074, 0310830107, 0310834927, 0310835559",PAPER BOARD,
Food Grade Flavours - Fruit Flavour,09083110,E1,33,7200.470,0.00,"0311020706, 0311021198, 0311027042, 5611002533, 0311030618",FOOD FLAVOUR - E1,
CANE SUGAR,17000000,E1,32,6543286.590,1.00,"0310697462, 0310687206, 0310689110, 0310741564, 0310729488",SUGAR,
relevant fruit (juice/pulp/puree),20000000,E1,32,1743340.080,0.00,"0310689110, 0310741140, 0310741564, 0310729488, 0310732839",FRUIT JUICE - E1,
Leavening Agent: Yeast / Yeast Extract,21021020,E5,32,89554.480,0.00,"0311017843, 0311017841, 0311017886, 0311017937, 0311017936",LEAVENING AGENT,
Starch - Edible Starch (HSN Code - 1108),11081200,E5,32,145708.710,0.00,"5211006864, 5211006893, 5211007783, 5211009407, 5211009853",STARCH 1108,
Starch - Edible Starch ( Code- 1108 ),11081200,E5,31,94521.890,0.00,"0311017843, 0311017936, 0311017937, 0311020051, 0311021037",STARCH 1108,
Essential oils-(HS Code:-3301) Edible Grade (Max Percentage of 5% Reflective index of 1% and above but not more than 2%),33011200,E1,31,33098.520,0.00,"0311031473, 0311033194, 0311038965, 0311038963, 0311038939",ESSENTIAL OIL,
Food Flavours-Natural Flavours (Edible Grade),09083110,E1,31,8080.510,0.00,"0311038938, 0311038965, 0311038939, 0311038986, 0311038985",FOOD FLAVOUR - E1,
v) RELEVANT FOOD COLOUR (SUNSET YELLOW),32041981,E5,30,6569.200,0.00,"0910061031, 0910061490, 0910058234, 0910060696, 0910057477",FOOD COLOUR,
paper (50 to 150 gsm),48101990,E5,30,477272.350,0.00,"0310835514, 3010094879, 0310827361, 0311004132, 0311004131",PAPER & PAPER,
Wheat gluten flour,11010000,E5,30,12651264.000,32520135.66,"0311010834, 0311013659, 0311013560, 0311018973, 0311021669","WHEAT FLOUR, WHEAT GLUTEN",
Leavening Agent: Yeast / Yeast Extract,21069099,E5,30,106797.150,0.00,"5211005013, 5211007783, 5211009407, 5211009853, 0311038011",LEAVENING AGENT,
Essential Oils Maximum Percentage of 51% & reflective index 1% & above but not more than 2% (HS CODE 3301),33011200,E1,30,23393.210,0.00,"0311030331, 0311030534, 0311030617, 0311030805, 0311031107",ESSENTIAL OIL,
Other Confectionery Ingredients -Fruit & Nuts Products (HS Code 0802),08029900,E1,30,226110.290,0.00,"0311039992, 0311040045, 0311040600, 0311041130, 0311042064",OTHER CONFECTIONERY INGREDIENTS - E1,
frontwheel tyre,40117000,C969,29,14666.000,0.00,"1210008500, 1210009435, 1210009417, 1210008490, 1210008372",FRONTWHEEL TYRE,
Modifiers namely:- (a) Magnesium Oxide 25199040 (b) Soda Ash 28362010 (c) Sodium Nitrate 28342990 (d) Potash 28152000 (e) Potassium Nitrate 28342100,28362010,A3627,29,16236930.590,0.00,"5211005899, 5211006128, 5211006445, 5211006441, 5211006446","SODA ASH, SODIUM NITRATE",
Milk & Milk Products - Milk Solids,35022000,E1,29,310455.200,0.00,"0311030618, 0311030617, 0311030805, 0311031358, 0311031453",WPC - E1,
ceramic colour,28220010,E126,28,7673.600,0.00,"0910029851, 0910039211, 0310627690, 0310645313, 0910049713",CERAMIC COLOUR,
ii)RELEVANT FOOD COLOURS (SUNSET YELLOW),32041981,E1,28,615.300,3.02,"0310828013, 0310828052, 0310829957, 0310829979, 0310830479",FOOD COLOUR,
"Other Confectionery Ingredients-edible molasses,malt extracts, ebible oils and fats, fruits products nut & nut products tea extracts coffee extracts edible desiccated coconut ( HS Code-0802)",08023100,E1,28,292121.200,0.00,"0311006856, 0311007010, 0311008153, 0311008507, 0311009150",OTHER CONFECTIONERY INGREDIENTS - E1,
FOOD GRADE - TARTARIC AICD,29181200,E1,28,248267.270,0.00,"0311018077, 0311018170, 0311018289, 0311018858, 5611001404",CITRIC ACID / TARTARIC ACID - E1,
ESSENTIAL OILS - ORANGE,33011200,E1,28,48725.670,0.00,"0311018077, 0311018289, 0311018858, 5611001404, 0311020615",ESSENTIAL OIL,
Emulsifier:- Starches,11081100,E1,28,11541.160,0.00,"0311028488, 0311040958, 0311041306, 0311041308, 0311042485","EMULSIFIER - E1, STARCH 1108, STARCH 3505",
